Index,Name,Liga,Marktwert,Land,Position,TimeL,TimeI,TimeSum,xGoalL,xGoalI,xGoalSum,Save%,Goals,Assists,Age,GCA,Team,Gelb,Rot,GoalValue
201,Zeki Celik,Serie A,6000000,Türkei,Verteidiger,671,814,1485,"0,2","0,2","0,4",0,0,2,27,2,AS Rom,2,1,"-0,4"
202,Hakan Çalhanoglu,Serie A,45000000,Türkei,Mittelfeld,2556,509,3065,"10,1","1,1","11,2",0,14,3,30,10,Inter Mailand,7,0,"2,8"
203,Salih Özcan,Bundesliga,10000000,Türkei,Mittelfeld,1184,443,1627,"0,2","0,1","0,3",0,0,0,26,4,Borussia Dortmund,3,0,"-0,3"
204,Arda Güler,La Liga,15000000,Türkei,Mittelfeld,377,0,377,"1,4",0,"1,4",0,6,0,19,2,Real Madrid,1,0,"4,6"
205,Irfan Can Kahveci,Süper Lig,10000000,Türkei,Mittelfeld,2012,406,2418,12,"1,2","13,2",0,14,8,28,3,Fenerbahce,7,0,"0,8"
206,Kerem Aktürkoglu,Süper Lig,15000000,Türkei,Mittelfeld,2468,584,3052,11,"0,4","11,4",0,14,6,25,0,Galatasaray,5,1,"2,6"
207,Kenan Yildiz,Serie A,30000000,Türkei,Sturm,952,0,952,"1,6",0,"1,6",0,2,0,19,4,Juventus Turin,3,0,"0,4"
208,Jindrich Stanek,Fortuna Liga,3500000,Tschechien,Torwart,2526,0,2526,0,0,0,"52,22",0,0,28,0,Slavia Prag,4,0,0
209,Martin Vitik,Fortuna Liga,12000000,Tschechien,Verteidiger,2003,810,2813,3,0,3,0,5,0,21,1,Sparta Prag,3,1,2
210,David Zima,Fortuna Liga,4000000,Tschechien,Verteidiger,1063,180,1243,0,0,0,0,0,0,23,0,Slavia Prag,1,0,0
211,Tomas Holes,Fortuna Liga,2200000,Tschechien,Verteidiger,2193,559,2752,"0,2","0,2","0,4",0,3,2,31,1,Slavia Prag,3,1,"2,6"
212,Vladimir Coufal,Premiere League ,8000000,Tschechien,Verteidiger,3132,620,3752,"0,3","0,2","0,5",0,0,7,31,15,West Ham Utd.,6,1,"-0,5"
213,David Doudera,Fortuna Liga,3000000,Tschechien,Verteidiger,1698,654,2352,"2,1",2,"4,1",0,3,5,26,3,Slavia Prag,4,0,"-1,1"
214,Tomas Soucek,Premiere League ,30000000,Tschechien,Mittelfeld,2870,676,3546,"6,7","1,1","7,8",0,9,3,29,7,West Ham Utd.,8,0,"1,2"
215,Michal Sadilek,Eredivisie,8000000,Tschechien,Mittelfeld,2698,0,2698,"1,1",0,"1,1",0,1,3,25,5,Twente Enschede,5,1,"-0,1"
216,Lukas Provod,Fortuna Liga,3000000,Tschechien,Mittelfeld,1826,413,2239,"0,2",0,"0,2",0,3,7,27,2,Slavia Prag,3,0,"2,8"
217,Patrik Schick,Bundesliga,22000000,Tschechien,Sturm,1063,304,1367,6,"2,7","8,7",0,12,0,28,4,Bayer 04 Leverkusen,2,0,"3,3"
218,Jan Kuchta,Fortuna Liga,5000000,Tschechien,Sturm,2259,760,3019,14,3,17,0,20,7,27,5,Sparta Prag,4,0,3
219,Peter Gulacsi,Bundesliga,3000000,Ungarn,Torwart,1340,0,1340,0,0,0,"75,88",0,0,34,0,RB Leipzig,0,0,0
220,Willi Orban,Bundesliga,10000000,Ungarn,Verteidiger,1582,180,1762,"0,4","0,2","0,6",0,1,0,31,4,RB Leipzig,3,0,"0,4"
221,Attila Szalai,Bundesliga,4000000,Ungarn,Verteidiger,391,0,391,0,0,0,0,0,0,26,0,SC Freiburg,1,0,0
222,Adam Lang,Protathlima Cyta,450000,Ungarn,Verteidiger,1593,0,1593,1,0,1,0,1,1,31,0,Omonia Nikosia,3,0,0
223,Adam Nagy,Serie B,900000,Ungarn,Mittelfeld,1742,0,1742,"0,5",0,"0,5",0,0,0,28,0,Spezia Calci0,3,1,"-0,5"
224,Callum Styles,League One,2500000,Ungarn,Mittelfeld,1415,0,1415,3,0,3,0,3,2,24,1,FC Barnsley,7,0,0
225,Milos Kerkez,Premiere League ,20000000,Ungarn,Mittelfeld,1970,0,1970,"1,2",0,"1,2",0,0,1,20,4,Bournemouth,4,1,"-1,2"
226,Loïc Nego,Ligue 1,900000,Ungarn,Mittelfeld,1561,0,1561,"1,3",0,"1,3",0,0,3,33,8,Le Havre AC,2,0,"-1,3"
227,Dominik Szoboszlai,Premiere League ,75000000,Ungarn,Mittelfeld,2104,328,2432,"3,7","0,5","4,2",0,3,2,23,8,Liverpool,1,0,"-1,2"
